holdings,shares
IIPR,626411
ISSC,297609
INVA,1623798
INGN,526981
INOV,2005826
INO,5288016
INZY,179321
IPHI,1471806
INSG,2227004
NSIT,978275
INSM,2884883
NSP,1020227
INSP,721471
IBP,657323
IIIN,512622
PODD,1858804
ITGR,926077
IART,2010303
INTC,115555369
NTLA,1533571
IDN,492902
INS,322140
IPAR,472997
IBKR,2168043
ICPT,799518
ICE,15826669
IDCC,846869
TILE,1631190
INTG,7266
IBOC,1531048
IBM,25133406
IFF,6671574
IMXI,808017
IP,11095277
INSW,704672
IDXG,24647
IPG,11027276
XENT,871970
INTT,210254
IVAC,980600
ITCI,2023473
IPI,282908
IIN,345499
INTZ,291547
INTU,7036559
ISRG,3314690
INUV,2561715
IVC,1123981
IVZ,11692051
IVR,6413922
ISTR,291592
ISBC,6280100
ITIC,51466
NVTA,4741898
INVH,15808236
IO,295671
IONS,3748418
IOVA,3729737
IPGP,975790
IQV,5403976
IRMD,306001
IRTC,814444
IRIX,563826
IRDM,3350506
IRBT,789301
IRM,8154875
IRWD,4295611
ISR,3606059
ISDR,152104
STAR,1966544
ISUN,47400
ITOS,392945
ITI,1508368
ITRI,1087014
ITT,2429270
ISEE,2512726
JAX,552041
JILL,9723
SJM,3062394
JJSF,396825
JCOM,1223079
JBL,3797364
JKHY,2154059
JACK,609631
J,3654602
JAKK,1900
JRVR,808920
JAMF,980386
JHG,4904125
JAZZ,1498001
JBHT,2383896
JBGS,3524329
JEF,5067451
JELD,1839798
JRSH,41854
JBLU,8755465
JCTCF,32900
FROG,376484
JBSS,233253
JBT,892779
JW.A,1166043
JNJ,74228273
JCI,20436507
JOUT,145224
JYNT,517753
JLL,1449969
JNCE,536113
JPM,85978875
JNPR,9340510
MAYS,3637
KAI,319834
KDMN,4844774
KALU,432757
KALA,1168771
KLDO,523722
KALV,427449
KAMN,764093
KSU,2643135
KAR,3680425
KRTX,484109
KPTI,1783543
TWMC,6644
KBH,2445804
KBR,4006003
KRNY,2320435
K,7273990
KELYA,987977
KMPR,1744586
KMPH,68800
KMT,2346487
KW,3386988
KROS,384791
KDP,15862010
KEQU,97556
KTCC,243876
KEY,27641026
KEYS,5229521
KZR,1193164
KFRC,538184
KRC,3266016
KE,706332
KBAL,1019698
KMB,9594888
KIM,11643263
KMI,54289400
KIN,1164425
KINS,202133
KFS,16584
KNSA,679893
KNTE,347581
KNSL,606690
KTRA,211200
KEX,1672547
KIRK,345642
KRG,2359990
KKR,15242658
KREF,871244
KLAC,4354184
KLXE,102886
KNX,4303209
KNL,1430517
KN,2544458
KOD,855949
KSS,4458470
KTB,1448054
KOPN,1916018
KOP,577986
KFY,1518105
KHC,17228694
KRA,840927
KTOS,3460969
KR,20775549
KRON,470347
KRO,665871
KRYS,427184
KBNT,236300
KURA,1749746
KRUS,137956
KVHI,604107
KYMR,177086
LB,6274680
LHX,5922031
LJPC,536501
LZB,1242725
LH,2746145
LADR,2756042
LSF,103225
LSBK,5900
LBAI,1368482
LKFN,664627
LAKE,219794
LRCX,4061331
LAMR,2440529
LW,4123029
LANC,538564
LNDC,1109203
LARK,52200
LABP,37989
LE,286634
LSTR,1081517
LCI,1040377
LTRN,145940
—,2319511
LNTH,1816048
LTRX,795356
LPI,300171
LRMR,278350
LVS,10774572
LSCC,3825830
LAUR,2987523
LAWS,164222
LAZ,2812362
LAZY,225600
FSTR,243313
LCII,671572
LCNB,378890
LEAF,1048255
LPTX,1409450
LEA,1701442
LEE,1445498
LEGH,176960
LEG,3755749
LDOS,4011474
LMAT,478200
LMND,762312
LC,2527297
TREE,315221
LEN,7577719
LEN.B,680314
LII,971393
LNSR,343067
LESL,2108030
LEVL,139799
LEVI,1624923
LXRX,1499720
LXP,7683094
LGIH,628082
LGL,2391
LHCG,843265
LBRDA,317557
LBRDK,4911946
BATRA,305045
BATRK,1081309
FWONA,925446
FWONK,5245118
LSXMA,2292083
LSXMK,4517107
LBRT,2223793
LTRPA,2026424
LSI,2044597
LFMD,17607
LCUT,308270
LFVN,911874
LWAY,45393
LGND,435224
LTBR,59325
LPTH,871749
LMB,229935
LLNW,3308433
LMST,56772
LMNR,544628
LINC,715370
LECO,1667366
LNC,5171828
LIND,850883
LIN,14783791
LNN,302793
LCTX,3434473
LGF.A,1698281
LGF.B,3043778
LPCN,2396307
LQDA,654845
LQDT,681567
LAD,699404
LFUS,677262
LYV,3989082
LOB,755376
LIVE,3993
LTHM,4132548
LPSN,1687578
RAMP,1778052
LIVX,1459913
LKQ,7305899
LMPX,70694
LMT,6705175
L,6565955
LOGC,404354
LORL,340973
RIDE,2802981
LPX,3085873
LOVE,286615
LOW,20661119
LPLA,2237913
SCX,87251
LXU,644293
LYTS,819344
LTC,1085643
LUB,592426
LHDX,24386
LULU,3347857
LL,759162
LUMN,30972793
LFT,805878
LITE,2122547
LAZR,1715646
LMNX,1211327
LUMO,187202
LUNA,926302
LBC,272531
LDL,508468
LYFT,6971178
LYB,7063729
LYRA,129020
MTB,3448554
MHO,796464
MCBC,678487
MAC,3747818
CLI,2183492
MFNC,241433
MTSI,1325395
MIC,2112078
MGNX,1511325
M,8754458
MSGE,549998
MSGS,529871
MDGL,282565
MGLN,645393
MGTA,811714
MGNI,2993935
MGY,3269363
MHLD,1826216
MNSB,228238
MBUU,571252
MLVF,219520
TUSK,63658
MANH,1785696
LOAN,253464
MNTX,516837
MTW,995232
MTEX,30933
MN,691618
MNKD,6044095
MAN,1616999
MANT,751088
MRO,22135046
MPC,18354884
MRVI,1893112
MCHX,796594
MMI,666920
MCS,545865
MPX,203641
HZO,555001
MRNS,953729
MKL,387679
MRKR,850493
MKTX,1016772
MRLN,209275
MAR,6864597
VAC,1159576
MBII,2687269
MMC,14300389
MRTN,1600639
MLM,1760638
MRVL,18907154
MAS,7386379
MASI,1395378
DOOR,689658
MTZ,1563676
MHH,167035
MA,25085678
MCFT,518415
MTDR,3129639
MTCH,7127103
MTRN,569481
MTNB,5173894
MTRX,810077
MATX,1208843
MAT,9836935
MATW,859803
MLP,443463
MAXR,1634036
MXIM,7530169
MMS,1719328
MXL,1862998
MEC,268889
MBI,1498329
MCFE,881486
MKC,7002599
MCD,21007726
MGRC,665347
MCK,4526241
MDC,1416860
MDCA,1912558
MDU,5632651
MDLA,2284922
MFIN,559905
MDVL,150874
MAX,229754
MDIA,67571
MPW,16197837
MNOV,1159643
MED,312738
MDLY,3709
MD,2287130
MEDP,804523
MDT,37937766
MEIP,3320227
MBWM,416370
MBIN,447330
MRK,71344521
MCY,753434
MRCY,1570434
MDP,1092316
EBSB,1370817
VIVO,1187664
MRBK,202373
MMSI,1481152
MTH,1064716
MTOR,1902812
MACK,369747
MRSN,1720683
MESA,856549
MLAB,133170
CASH,898245
MTCR,190176
MEI,1012457
MET,19051226
MCBS,488870
MCB,219576
MTD,670336
MFA,12948352
MGEE,1028461
MTG,9557653
MGM,11848594
MGPI,370022
MIK,2280229
MBOT,152613
MCHP,7342950
MU,31398513
MSFT,213175607
MSTR,203870
MVIS,4138210
MICT,1723800
MPB,224092
MAA,3233080
MSVB,8848
MIDD,1571432
MBCN,142329
MSEX,451206
MSBI,585729
MDWT,500
MOFG,401850
MLSS,1743096
MLND,163214
MLR,326277
MDXG,2501200
MIND,491592
MTX,940663
NERV,1155739
MRTX,1278691
MIRM,416459
MSON,394641
AVO,252817
MG,482335
MITK,1092243
MKSI,1555031
MMAC,145485
MODN,827302
MRNA,8927192
MOD,1333037
MODV,354253
MC,1542881
MWK,346237
MHK,1608810
MTEM,1104053
MOH,1672299
TAP,5078683
MKGI,129486
MCRI,337537
MDLZ,40334496
MGI,1741767
MDB,1495234
MNR,2547824
MPWR,1207933
MNRO,889109
MNST,10415158
MEG,422512
MCO,4501621
MOG.A,809279
MS,40523513
MORN,661091
MORF,414650
MOS,9618074
MPAA,591893
MSI,4779794
MSGM,24246
MOV,448762
MP,2399235
COOP,2037395
MRC,2215404
MSA,1039148
MSM,1099015
MSCI,2221880
MSGN,1149868
MTBC,386909
MTSC,544587
MLI,1469465
MWA,4347647
MPLN,10398138
MUR,4021784
MUSA,761705
GRIL,487573
MBIO,1367501
MVBF,338513
MYE,1045545
MYRG,443873
MYGN,2018049
NBR,187826
NC,153422
NSTG,1247995
NH,846241
NK,918956
NSSC,383595
NDAQ,4161801
NTRA,2168864
NATH,56367
NBHC,854019
NKSH,173462
FIZZ,646039
NCMI,1675457
NFG,2538341
NHI,1190858
NHC,353266
NATI,3338096
NPK,147283
NRC,403427
NNN,4916558
NSA,1530410
EYE,2274213
NWLI,90075
NAII,216379
NGS,462192
NGVC,268922
NATR,781532
NTUS,941379
NLS,829119
NAVB,449841
NAVI,5210461
NAV,1402826
NBTB,1179902
NCNO,376112
NCR,3623035
NCSM,5982
NP,469740
NKTR,5070931
NNI,418697
NEOG,1487185
NEO,2969457
NLTX,481306
NPTN,1250598
NEOS,1064676
NEPH,48125
NSCO,569215
NETE,117351
NTAP,6263000
NFLX,12457272
NTGR,778735
NTCT,1924017
NTWK,324689
NTST,554543
NTIP,195392
NBSE,539822
NBIX,2638039
STIM,614516
NVRO,926354
NFE,1965491
NWHM,226301
NJR,2687289
NEWR,1535944
NRZ,11846021
SNR,1894759
NYCB,12465235
NYMT,10730676
—,19100
NYT,4229647
NBEV,3311995
NWL,10783590
NMRK,4132252
NEU,243071
NEM,22680244
NR,1753663
NWSA,13523127
NWS,827090
NEXI,72087
NREF,131900
NXRT,581789
NXST,1182629
NXTC,301832
NEXT,315026
NEE,55241166
NXGN,1485959
NEX,4410358
NGM,705803
NODK,337991
EGOV,1743675
NICK,124481
NCBS,251107
NLSN,10085859
NKE,35379300
NKLA,4884911
NINE,194528
NI,10823930
NKTX,261736
NL,29666
LASR,986264
NMIH,2402118
NNBR,1069802
NDLS,1287760
NDSN,1471430
JWN,3133668
NSC,7163533
NBN,231674
NOG,1318918
NTIC,240001
NTRS,5572595
NFBK,1469952
NRIM,143866
NOC,4230451
NWBI,3322240
NWN,840570
NWPX,286170
NWE,1405045
NLOK,15857821
NCLH,8932744
NWFL,196843
NOV,10868162
NBY,40000
NOVN,3847042
NOVT,934895
NVAX,1795741
NVCR,2439368
DNOW,2971461
NRG,6881584
NUS,1425050
NUAN,7986498
NUE,8516062
NRIX,382679
NTNX,5482533
NUVA,1446658
NUZE,2100
NVEE,312172
NVEC,191062
NVT,4808991
NVDA,16582395
NVR,99518
NXTD,859052
ORLY,2043589
OI,4413241
OSH,748898
OVLY,141641
OXY,26280475
OBCI,181238
OII,2704816
OCFC,1691630
OFED,1919
OCGN,4355023
OCUL,2022969
OCN,177771
ODT,448887
ODP,1484531
OMEX,169811
OPI,1340602
OFG,1490205
OGE,5641189
OVBC,88132
OIS,1507008
ODC,212867
OKTA,3386294
ODFL,2978525
ONB,4573823
OPOF,87230
ORI,8153619
OSBC,797417
OLMA,318296
OLN,4016172
OLLI,1571722
ZEUS,301905
OFLX,80238
OHI,6412504
OMER,1668293
OMNT,101171
OMCL,1195250
OMC,6061998
ON,11614019
ONTF,251235
OCX,2195044
ONTX,6546048
ONCR,303631
ONCS,620695
ONCT,1121238
ONDS,27152
OGS,1461289
STKS,398718
OLP,419273
OSS,190266
OMF,2275361
OKE,12536353
OSPN,952095
ONEW,251744
ONTO,1293118
OTRK,215565
OOMA,752145
OPBK,500781
LPRO,3076667
OPNT,59635
OPK,10419509
OPRT,594643
OPY,238489
OCC,62844
OPRX,393864
OPTN,901621
OPCH,2371036
ORCL,50926625
OGEN,1212667
OSUR,2016035
ORBC,2121267
OEG,741528
ORC,2369166
ORGO,685014
ONVO,130035
ORGS,704765
ORIC,455048
OBNK,619902
OESX,831757
ORN,803116
ORA,1246263
ORRF,275459
OCDX,2201474
OFIX,517762
KIDS,370199
OSK,1927442
OSIS,439702
OTEL,107617
OTIS,12218385
OTIC,1295611
OTTR,1145326
OUT,4097687
OTLK,2606887
OM,421424
OSG,1809004
OSTK,1148572
OVID,1515603
OVV,7308357
OMI,1967724
OC,3060749
OXM,431921
OYST,314885
PFIN,19462
PCAR,9772827
PACB,4983914
PMBC,490923
PPBI,2645704
PCRX,1151354
PKG,2676020
PTVE,993101
PACW,3308947
PAE,1679053
PD,1458743
PLTR,6229720
PTN,6080943
PANW,2553066
PLMR,613308
PTSI,56669
PAND,267226
PHX,293956
PZZA,877239
PARR,1262643
PAR,580935
PZG,65976
PGRE,5301856
PRTK,1290665
PKE,619224
PCYG,532857
PK,6678381
PRK,416170
PKOH,234858
PKBK,290652
PH,3636364
PSN,671589
PTRS,304800
ID,447245
PRTY,2815720
PASG,740957
PATK,627294
—,129819
PDCO,2444339
PTEN,4860765
PAVM,1958695
PAYA,1459900
PAYX,9116605
PAYC,1402212
PCTY,1070134
PYPL,33038998
PAYS,845957
PBF,2696390
CNXN,305579
PCB,422425
PCSB,476696
PCTI,544910
PDCE,2806064
PDFS,929919
PDLI,2258201
PDLB,250855
PDSB,537946
BTU,1781290
PGC,476089
PEB,3701347
PED,460492
PEGA,1131983
PTON,6847169
PENN,4163224
PVAC,480998
PNTG,712450
PWOD,183006
PEI,1546388
PFSI,1232398
PMT,2816793
PAG,892432
PNR,4695749
PEN,970251
PBCT,12051674
PEBO,509181
PEBK,113094
PFIS,179123
PEP,38980482
PRDO,1820192
PRFT,917409
PFGC,3766936
PFMT,744195
PKI,3158626
PESI,289060
PPIH,471899
PRGO,3860838
PSNL,786542
PRSP,3875341
WOOF,1238725
PETQ,581506
PETS,532277
PTPI,43424
PFE,156767679
PFSW,577483
PCG,42012062
PGTI,1526398
PHAS,413303
PHAT,487764
PAHC,598093
PM,43891985
PSX,12322621
PLAB,1721197
PHR,747216
PHUN,1312927
DOC,5857662
PICO,724426
PDM,3452770
PPC,1314861
PING,1026878
PNFP,2033958
PNW,3179381
PINS,14406389
PBFS,382362
PXD,5707439
PIPR,488217
PBI,4900129
PXLW,1578063
PJT,588499
PLNT,2304615
PLT,1025149
AGS,765340
PLXS,797838
PLRX,319758
PLUG,13993253
PLBC,87896
PS,3030203
PLXP,179441
PLYM,610316
PMVP,373888
PNC,11960541
PNM,2244518
POLA,161302
PII,1657345
PTE,600972
POOL,1076875
BPOP,2353493
POR,2503686
PSTX,327248
POSH,185101
POST,1667622
PSTL,315388
PBPB,510250
PCH,1779122
POWL,260161
POWI,1590269
PW,29103
PWFL,958085
PPD,3441305
PPG,6666490
PPL,21684806
PQG,1189062
PRAA,1276866
PRAH,1803153
PRAX,320252
PGEN,2545529
PRPO,209095
DTIL,1296685
POAI,295185
APTS,1263765
PFBC,379007
PLPC,87859
PRLD,260458
PFBI,299301
PFC,1112146
PINC,3424481
PBH,1392169
PRGX,960894
PSMT,550491
PNRG,21616
PRI,1103926
PRMW,4284304
PRIM,1244625
PFG,7731523
PDEX,90139
PRA,1515978
PG,69923856
PFHD,409466
PFIE,2085380
PRG,1912060
PROG,291543
PRGS,1249680
PGR,16510027
PGNY,1213701
PLD,20829804
PFPT,1626713
PUMP,2435362
PRO,1103044
PROS,292907
PB,2470802
PTGX,1092601
PTVCA,1535
PTVCB,291272
PRLB,751876
PRVB,1415663
PVBC,442422
PROV,178766
PFS,2005550
PBIP,193946
PRU,11169215
PSB,571021
PMD,165302
PTC,2957398
PTCT,1926019
PEG,14249472
PSA,4189661
PUBM,68739
PULM,1197100
LUNG,340988
PLSE,375825
PHM,7225157
PBYI,984391
PCYO,1311787
PSTG,6776704
PRPL,1283883
PVH,2012410
PZN,428721
QTWO,1367473
QADA,316915
QADB,65999
QCRH,401901
QEP,6408042
QRVO,3215390
QTS,1799200
QUAD,728555
KWR,375444
QCOM,31891117
XM,1475364
QLYS,933123
NX,937068
PWR,3908478
QTRX,846669
QMCO,1334754
QS,975181
DGX,3801326
QRHC,25955
QUIK,209986
QDEL,1008331
QNST,1306647
QUMU,657694
QUOT,1993583
QRTEA,10935259
RCM,3231643
RMED,508
RXT,822477
RDN,5417934
RLGT,1779009
RADI,1532200
RDUS,1276289
RDNT,1144900
RFL,414153
RL,1229964
METC,233281
RMBS,3145761
RNDB,80909
RRC,6507010
RNGR,179415
PACK,783162
RPD,1381544
RAPT,465521
RAVN,999976
RJF,3478637
RYAM,1468704
RYN,3824795
RTX,42825380
RBB,434782
ROLL,672964
RICK,253438
RCMT,107460
RMAX,470306
RDI,526251
RC,1118036
RNWK,628721
RLGY,3238756
RP,2592558
REAL,1625116
O,9899177
RETA,743790
REPH,684253
RLH,550589
RRBI,121847
RRGB,425463
RRR,1805950
RDVT,275177
RDFN,2735971
RWT,3251896
REED,1177155
RBC,1144611
REG,4792545
REGN,2810656
RGNX,1004460
RM,260217
RF,27195180
RGS,681433
RGLS,171946
RGA,1911023
REKR,811657
RLAY,526509
RS,1795111
RBNC,448396
RLMD,345458
MARK,2572778
RNR,1435826
RNST,1493893
REGI,1052720
RCII,1445804
RPAY,2005053
RGEN,1334185
REPL,761344
KRMD,1018896
RBCAA,313295
FRBK,1249187
RSG,5830866
REFR,819079
RSSS,1231900
REZI,3969981
RMD,4083672
RFP,1537597
RESN,1296092
RGP,1157287
ROIC,3095459
RPAI,6022062
RVI,490814
RVP,389244
REVG,717868
RVNC,1786616
REV,179814
RVMD,1530118
RVLV,700390
REX,163865
REXR,3622327
RXN,3228820
REYN,1437962
RFIL,248889
RGCO,328695
RH,440188
RBKB,95526
RYTM,1319075
RBBN,1642471
RIBT,560464
RELL,298391
RMBI,437624
RIGL,4723392
RNET,627735
RMNI,2107722
REI,971271
RNG,2121693
RIOT,1355693
RAD,1452308
RVSB,657721
RIVE,120668
RLI,1199350
RLJ,4677692
RMR,419901
RHI,3056542
RKT,3232471
RCKT,1098539
ROK,3277282
RMTI,1749353
RCKY,236365
RMCF,162623
ROG,525105
ROKU,3074831
ROL,6204062
ROOT,764480
ROP,2957957
ROST,10038786
RCL,5384195
RGLD,1848392
RES,2103825
RPM,3659634
RPT,2242976
RRD,1931025
RBCN,96189
RUBY,959754
RMBL,38380
RUSHA,1340632
RUSHB,55324
RUTH,928106
R,1518688
RYI,477553
RHP,1395562
SPGI,6787537
STBA,1086650
SANW,441910
SBRA,5825386
SABR,8919617
SACH,369704
SFE,774256
SAFE,442844
SAFT,417385
SGA,120553
SAGE,1471438
SAIA,738083
SAIL,2432848
SLRX,102423
SALM,220213
CRM,24378249
SAL,43118
SBH,3186016
SANA,772694
SMTI,55881
SAFM,564261
SD,646359
SASR,1305406
SGMO,3154705
SANM,1714442
SC,1712922
SRPT,2120506
STSA,54078
BFS,337631
SVRA,1207729
SBFG,143155
SBAC,3136190
SCSC,743432
SLB,39258856
SNDR,1677127
SCHN,671144
SRRK,649168
SCHL,510612
SDGR,1190774
SWM,859387
SAIC,1637559
SGMS,2279972
SCPL,608148
SMG,1101496
SCPH,473719
SCU,445435
SCYX,518494
SEB,6941
SEAC,421101
SBCF,1418338
CKH,543749
SMHI,506645
STX,6165858
SGEN,3813254
SEE,4373000
SPNE,665386
SEAS,1440701
EYES,407661
SCWX,196735
SNFCA,188168
SEEL,1739323
SEER,388711
SEIC,3647607
SLCT,417831
WTTR,1935190
SIC,501023
SEM,3008233
SELB,2483586
SIGI,1671058
SLQT,3193839
SLS,297037
SRE,8162217
SMTC,1829761
SENEA,219292
ST,4431355
SNSE,3092
SENS,6677612
SXT,1184164
SRTS,297376
SQBG,21522
MCRB,1651020
SRG,937569
SCI,4624091
SVC,4660605
NOW,5501007
SREV,2899331
SFBS,1298979
SVT,5014
SESN,3647805
SVBI,177711
SHAK,1026054
SMED,385515
SHSP,373442
STTK,409163
SHEN,1313818
SHW,2305760
SFT,1252500
FOUR,1021112
PIXY,114467
SHLS,2189102
SWAV,866682
SCVL,227689
SHBI,251285
SSTI,216672
SSTK,600849
SHYF,930350
SIBN,740948
SIEB,539026
SIEN,1442501
BSRR,346699
SIGA,1300912
SGTX,63102
SBNY,1530716
SIG,1404732
SGFY,699688
SLGN,2130691
SLAB,1226988
SILK,851733
SBTX,112609
SBOW,166456
SAMG,362178
SI,511640
SFNC,2671348
SPG,9179420
SMPL,2424981
SSD,1216453
SLP,409030
SBGI,1285009
SIOX,986282
SIRI,30025291
SPNT,2185804
SITC,4360129
SITE,1250107
SITM,315607
SIX,2290399
SJW,815566
SKX,3821550
SKY,1413763
SKYW,1322195
SWKS,4683403
SLG,2050602
WORK,12953529
SNBR,741881
SLM,10621561
SM,3188530
SGH,356775
SND,618477
SMBK,447398
SMAR,3225215
SDC,2565063
SWBI,1475805
SMSI,931900
SNAP,31333823
SNA,1532921
SNOW,743288
TLMD,836600
SOI,851272
SWI,1727573
SLNO,1013939
SLDB,864525
SNGX,608979
XPL,107374
SOLY,264866
SAH,593925
SONM,173756
SONN,135963
SON,2805085
SONO,3016219
SRNE,6669889
SHC,1249135
SOHO,529818
SFBC,32368
SJI,2828001
SPFI,292194
SSB,2001356
SO,29763572
SFST,216451
SMBC,174587
SONA,766019
SBSI,915768
LUV,16640653
SWX,1450082
SWN,18056944
SP,635849
SPKE,465115
SPTN,913733
SPB,1147554
SPPI,4040425
SPRO,581627
SR,1355521
SPR,2969843
SAVE,2745214
STXB,371242
SRC,3030994
SPLK,4525884
SPOK,533126
SPWH,1150558
SWTX,476706
SPT,546789
SFM,3326697
SPRB,44356
SPSC,983292
SPXC,1179578
FLOW,1177324
SQ,10824250
SQZ,234960
SRAX,206107
SSNC,6113425
JOE,810165
STAA,1295143
STAG,4392404
STMP,489002
STND,109627
SMP,524412
SXI,351227
SWK,4523007
SBUX,33093956
SRT,761197
STWD,7567540
STFC,494276
STT,7861157
STLD,5660171
SCS,2211066
SCL,592381
STEP,489624
STXS,1433278
SRCL,2579502
STE,2403708
SBT,370328
STL,5541730
STRL,748992
SHOO,2190703
STC,746733
SF,2757777
SFIX,1625906
SYBT,614208
STOK,500571
STON,153951
SRI,732166
SNEX,426416
STOR,6634621
SSKN,525713
STRA,684501
STRT,120586
STRS,226798
STRM,419268
LRN,1115587
SBBP,1295425
SYK,9534130
RGR,483258
SMMF,332686
INN,2979424
SUM,3225160
SSBI,224110
SMMT,533363
SUMO,419101
SUI,3031709
SXC,2444285
SNDE,140836
NOVA,1917004
SPWR,2151278
RUN,5300332
SHO,6108082
SLGG,158855
SMCI,1213055
SGC,295321
SUP,502788
SUPN,1411774
SPRT,719627
SURF,715945
SRGA,2854496
SGRY,818131
SRDX,355641
STRO,1006708
SIVB,1462942
SVMK,3179323
SWCH,2622191
SWKH,172716
SYKE,1076969
SYNC,1661294
SYNL,283958
SYNA,967428
SNCR,1190103
SYF,15653133
SNDX,1110150
SYNH,1905779
SGYPQ,5148145
SYBX,530714
SNX,1161008
SNPS,4274495
SNV,3967080
SYPR,35375
SYRS,1389743
SYY,13646644
SYX,406342
TMUS,15741903
TROW,6383461
TTOO,4001342
TRHC,590791
TCMD,505608
TTWO,3244145
TLIS,118942
TALO,916705
TNDM,1665785
SKT,2527253
TPR,7844995
TRGP,6456277
TGT,14120828
TH,751463
TARS,140591
TTCF,542800
TMHC,3503789
TSHA,263469
TCF,4315256
TCRR,750291
TEL,9331793
TISI,847021
TTGT,703697
TGNA,6168878
TRC,678989
TELA,235661
TDOC,3680460
TDY,1039887
TFX,1311863
TDS,2679809
TELL,6109281
TLS,88703
TPX,5543532
TENB,1867561
THC,2974395
TNC,484468
TEN,1283213
TDC,2924719
TER,4681728
TEX,1863812
TMX,3714477
TERN,21346
TRNO,1909150
TBNK,255965
TSLA,21382203
TESS,206522
TTEK,1518652
TTI,2583960
TCBI,1429017
TXN,25875884
TPL,2429
TXRH,1859767
TXT,6447250
TFFP,409134
TFSL,1489642
TGTX,3503220
TXMD,9122860
TBPH,1473324
TMO,11174705
THR,897424
THO,1483345
THRY,238128
TDW,1079916
TLYS,760357
TSBK,208251
TKR,1902980
TMST,983196
TIPT,647472
TWI,1475882
TITN,535990
TVTY,1172223
TJX,30433820
TOL,3217956
TOMZ,18074
TMP,374752
TR,440581
BLD,935400
TRCH,3223256
TTC,3013061
TOWN,1966741
TSQ,239477
TRTX,1727012
TPIC,1002476
TSCO,3286205
TTD,1183136
TW,2181989
TT,6776982
TACT,229335
TRNS,212007
TCI,2300
TDG,1458111
TRXC,2529320
TBIO,1886022
TMDX,615083
RIG,16430566
TRU,5362503
TNL,2405135
TA,374644
TRV,7144374
TZOO,153651
TVTX,1628071
TIG,232813
TREC,673080
TG,854890
THS,1584765
TRVN,4460259
TRVI,32341
TREX,3266434
TPH,3601194
TPCO,344080
TCDA,796058
TCBK,640383
TRS,1267009
TRMB,7060767
TNET,1114291
TRN,2408225
TPHS,36941
TRT,15180
TRIP,2404285
GTS,661613
TSC,755101
TRTN,1930056
TBK,609415
TGI,1356236
TROX,3036223
TBI,1017688
TRUE,2651483
TFC,38044278
TRUP,902274
TRST,2690490
TRMK,1678783
TTEC,505523
TTMI,2795571
TCX,273753
TUP,1311575
TPB,398470
TPTX,1020009
HEAR,405110
TPC,1128184
TWLO,3955444
TWIN,308848
TWST,1081296
TWTR,22433563
TWO,7623898
TYL,1135430
TYME,1939258
TSN,8292868
UBER,32340009
UI,172643
UDR,8325722
UFPI,1623995
UFPT,270491
UGI,5847357
ULTA,1510528
UCTT,1054521
RARE,1672445
ULBI,419938
UMBF,1211424
UMH,1102396
UMPQ,6268117
UAA,5106998
UA,5844863
UFI,470324
UNF,423922
UNB,60661
UNP,19004952
UFAB,27935
UIS,1689301
UAL,8349641
UBSI,3642211
UCBI,2403319
UFCS,613881
UIHC,604893
UNFI,1568623
UPS,20167499
URI,2035370
UBFO,319796
UAMY,847882
USM,438642
USLM,47849
X,6673385
UTHR,1255306
UG,71737
UNH,26752335
UNIT,6538917
UTL,428038
UNTY,215899
UBX,885401
U,23332
UNVR,4767890
UVV,621381
OLED,1193286
UEIC,313473
UHT,354025
UHS,2085284
UVE,828678
ULH,207795
USAP,278310
UTI,895668
—,42843
UVSP,791042
UNM,5164270
UPLD,680862
UPST,310058
UPWK,2578185
URG,4663358
UEC,5396201
UE,3135615
UONEK,817509
URBN,1659281
UBA,836941
UBP,94274
USB,38284001
USCR,439173
ECOL,907581
USFD,5612292
GROW,445749
USAU,16505
USPH,356971
SLCA,2013114
USWS,575129
USX,661474
USAT,1427200
USAK,162664
USNA,339882
USIO,447199
UTMD,141069
UTZ,1434748
EGY,2183682
VCNX,139733
MTN,1135216
VLO,11504425
VLY,10948262
VMI,590525
VALU,31207
VVV,5236685
VNDA,1436358
VAPO,511932
VREX,1084624
VAR,2572219
VRNS,915675
VXRT,2951727
PCVX,487879
VGR,3666445
VEC,320610
VECO,1299429
VEEV,3827213
VEL,424863
VLDR,2144623
VTR,10567321
VERO,609965
VRA,625101
VCYT,1845193
VSTM,5196493
VERB,1018873
VER,6123453
VCEL,1264032
VRNT,1640006
VRSN,2731605
VRSK,4576336
VBTX,1320382
VRTV,438921
VERI,693015
VZ,116691433
VRRM,3647188
VRCA,328623
VRS,901967
VTNR,1162837
VERX,611530
VRTX,7335166
VRT,6501313
VERU,1768731
VFC,8797894
VIAC,15438713
VVI,603923
DSP,282507
VSAT,1764301
VTRS,33727574
VIAV,6377522
VICI,15160510
VICR,566408
VCTR,395724
VIE,695858
VMD,1094317
VRAY,3131228
VKTX,1818668
VBFC,200
VLGEA,249924
VNCE,85346
VINC,66246
VIR,1797588
VIRX,48303
SPCE,3645636
VRDN,117532
VHC,2048524
VIRT,2777097
VRTS,203716
V,47500984
VSH,3710486
VPG,277943
VSTO,1634013
VTGN,3696214
VC,784599
VST,12696396
VITL,310627
VVNT,1099242
VMW,2233526
VCRA,843022
VOLT,572256
VG,6621783
VNT,4758409
VNO,5086551
VOXX,421571
VOYA,3593786
VYGR,1031373
VRM,924200
VSEC,306334
VTVT,536812
VMC,3737782
VUZI,1085520
VYNE,1140109
WRB,3780220
