holdings,shares
AGR,1693562
AVNS,1339859
AVTR,13854891
AVYA,2236501
ATXI,838827
AVEO,850003
AVY,2351825
AVNW,168508
CDMO,1667358
AVID,933557
RNA,500316
AVNT,2564089
AVGR,2345457
CAR,1384703
AVA,1903959
AVT,2775723
AVRO,936108
AWRE,391427
AXTA,5977398
ACLS,859231
AXLA,600493
AXS,2133472
AXGN,1008062
AXON,1791913
AXNX,726336
AX,1384705
AXSM,842868
AXTI,1115685
AYTU,479270
AZEK,2621535
AZYO,42872
AZRX,490181
AZZ,732739
RILY,440723
BGS,1799109
BW,1629410
BMI,813646
BKR,18391402
BCPC,905700
BLL,9219021
BTN,124748
BALY,422226
BANC,1374817
BANF,796665
TBBK,1315348
BXS,2887570
BAND,319238
BFC,211554
BAC,219701580
BOCH,467689
BOH,1113618
BMRC,332138
BK,22508252
BPRN,179731
BKSC,57616
OZK,3457344
BSVN,140514
BFIN,263321
BKU,2603076
BWFG,222142
BANR,916612
BHB,443627
BNED,1061170
B,1340696
BBSI,208631
BSET,263021
BATL,264325
BXRX,268717
BAX,14400470
BCML,423327
BBQ,121270
BBXIA,138393
BCBP,470944
BECN,1560972
BEEM,186146
BEAM,898145
BBGI,314277
BZH,801723
BDX,8176687
BBBY,3375881
BELFA,2976
BELFB,298534
BDC,1241315
BLPH,219355
BLCM,106715
BRBR,1087094
BHE,1028085
BNFT,840273
BSY,22376
BLI,355060
BRK.A,1051
BRK.B,50181863
BHLB,1366310
BRY,2248646
BERY,3759445
BBY,6573259
XAIR,405540
BYND,1330769
BGCP,8994306
BGSF,308654
BGFV,534933
BIG,1108730
BIGC,448808
BH,12594
BH.A,4329
BILL,2060256
BKYI,6129
BPTH,60240
BIO,593003
TECH,1087229
BASI,246302
BCAB,56344
BCDA,123689
BIOC,432307
BCRX,4965944
BDSI,3154167
BDSX,193615
BIIB,4340783
BHTG,58891
BIOL,1918787
BLFS,726372
BMRN,5124568
BMRA,452719
BNGO,6084177
BSGM,622975
BVS,24587
BTAI,413127
BJRI,592382
BJ,3874385
BDTX,611132
BKH,1754278
BKI,4206923
BLKB,1385400
BL,1450593
BLK,3871542
BX,18994811
BXMT,3933721
BLNK,935132
BE,3510367
BLMN,2246300
BCOR,1323848
APRN,345937
BLBD,394202
BLUE,1882392
BVH,351096
BXC,268136
BPMC,1572046
BRG,745737
—,123019
BMTX,68638
BA,15924174
BSBK,116190
WIFI,1154536
BCC,1088665
BOKF,786156
BOLT,45687
BCEI,591548
BKNG,1154823
BOOT,803921
BAH,3885783
BWA,6887906
SAM,252029
BOMN,367719
BPFH,2362708
BXP,3961206
BSX,40399894
EPAY,1229363
BOX,4152239
BOXL,1067361
BYD,2197019
BRC,1265585
BHR,815154
BCLI,758924
BDN,4789771
BBI,988999
BBIO,2749985
BWB,658621
