holdings,shares
REGN,2139019
RF,19594476
RSG,4291948
RMD,2955913
RHI,2326175
ROK,2370612
ROL,4518089
ROP,2139609
ROST,7262478
RCL,3799074
SPGI,4908409
CRM,18665815
SBAC,2266573
SLB,28396704
STX,4560582
SEE,3168351
SRE,5885659
NOW,3980136
SHW,1667442
SPG,6689618
SWKS,3387891
SLG,1481435
SNA,1105958
SO,21546534
LUV,12039970
SWK,3269166
SBUX,23944049
STT,6056921
STE,1741268
SYK,6669395
SIVB,1056963
SYF,11072498
SNPS,3113967
SYY,10389659
TMUS,11899995
TROW,4618759
TTWO,2346985
TPR,5657497
TGT,10215425
TEL,6746291
TDY,752384
TFX,950261
TER,3388570
TSLA,15469697
TXN,18725212
TXT,4668024
TMO,8085294
TJX,24494284
TSCO,2376782
TT,4899432
TDG,1110804
TRV,5166579
TRMB,5104572
TFC,27500322
TWTR,16225390
TYL,822623
TSN,6000018
UDR,6006402
ULTA,1149509
UAA,3857780
UA,3965447
UNP,13746811
UAL,5969626
UPS,14590417
URI,1471708
UNH,19355626
UHS,1584873
UNM,4158570
USB,27962298
VLO,8318733
VAR,1863240
VTR,7640954
VRSN,2047983
VRSK,3316483
VZ,84415309
VRTX,5304894
VFC,6523545
VIAC,11526739
VTRS,24577133
V,34341476
VNT,3434997
VNO,3203294
VMC,2703818
WBA,14658514
WMT,28280833
DIS,36933627
WM,7930829
WAT,1265410
WEC,6435083
WFC,84339809
WELL,8512467
WST,1508602
WDC,6208299
WU,8383998
WAB,3650052
WRK,5356549
WY,15225508
WHR,1277364
WMB,21155472
WLTW,2629281
WRB,2874956
GWW,919716
WYNN,2124327
XEL,10719715
XRX,3403354
XLNX,4999531
XYL,3677018
YUM,6154310
ZBRA,1087436
ZBH,4228600
ZION,3341524
ZTS,9695935
