tickers,shares,,,,,
ALC,182092,,,,,
3036,10019,,,,,
ALD,32155,,,,,
ALDAR,1426840,,,,,
,,,,,,
4200,10594,,,,,
ALEC,16059,,,,,
APLLTD,18294,,,,,
ALEX,34669,,,,,
AFH,171753,,,,,
ALX,800,,,,,
AMOC,89194,,,,,
ARE,52879,,,,,
ALXN,82722,,,,,
ALFA,18397,,,,,
ALFA,120544,,,,,
ALFAA,959000,,,,,
ALFEN,4423,,,,,
2784,64800,,,,,
AQN,243463,,,,,
3041,66811,,,,,
ALSO3,50598,,,,,
9988,5473020,,,,,
241,1858000,,,,,
1060,5090000,,,,,
ALGN,30497,,,,,
ATD.B,319689,,,,,
ALIMTIAZ,142055,,,,,
1150,364072,,,,,
ALR,31349,,,,,
ALK B,2430,,,,,
ALK,147212,,,,,
ALKEM,8685,,,,,
ALKS,58350,,,,,
ALLK,9783,,,,,
Y,5406,,,,,
ATI,46804,,,,,
ALGT,1626,,,,,
ALLE,36947,,,,,
ALE,149103,,,,,
ALE,19000,,,,,
ABMB,384000,,,,,
ADS,17557,,,,,
AGI,1458100,,,,,
LNT,99895,,,,,
ALV,158732,,,,,
AEL,71488,,,,,
AP.UN,45468,,,,,
ALSN,41502,,,,,
ALLO,18747,,,,,
ALLT,10427,,,,,
ALLN,4939,,,,,
MDRX,60100,,,,,
ALL,117112,,,,,
ALLY,147986,,,,,
ALMB,18659,,,,,
2280,108153,,,,,
ALM,40543,,,,,
ALNY,45306,,,,,
ALOKINDS,457474,,,,,
ALHE,40612,,,,,
ALPA4,59861,,,,,
ALPEKA,100700,,,,,
3028,6200,,,,,
ALPHA,580010,,,,,
002292,79000,,,,,
3380,107772,,,,,
4719,2500,,,,,
GOOGL,116913,,,,,
GOOG,112586,,,,,
9966,205000,,,,,
6770,73367,,,,,
ALRS,929110,,,,,
ALQ,179019,,,,,
ALSEA*,181000,,,,,
ALSN,1028,,,,,
ALO,106521,,,,,
AOX,68541,,,,,
ALA,101441,,,,,
ALTR,16277,,,,,
3059,61600,,,,,
ATE,10791,,,,,
196170,10107,,,,,
AYX,19681,,,,,
ATUS,91032,,,,,
ALU,40652,,,,,
AIMC,23817,,,,,
ALTR,31778,,,,,
MO,717397,,,,,
AWC,941764,,,,,
601600,520700,,,,,
2600,1333331,,,,,
ALUP11,61658,,,,,
AMA,211492,,,,,
6113,116000,,,,,
AMS,166294,,,,,
6436,24700,,,,,
AMARAJABAT,31455,,,,,
AMATA-F,383249,,,,,
AMZN,164678,,,,,
AMBA,12350,,,,,
2704,89000,,,,,
AMBER,6185,,,,,
ABEV,612459,,,,,
ABEV3,1114409,,,,,
AMBP3,15900,,,,,
AMBU B,64784,,,,,
AMBUJACEM,242595,,,,,
AMCX,10025,,,,,
AMC,533719,,,,,
AMCR,83782,,,,,
DOX,49833,,,,,
AMED,13158,,,,,
UHAL,3333,,,,,
AEE,95652,,,,,
AMXL,12338975,,,,,
AAL,58578,,,,,
AAT,17694,,,,,
AXL,43342,,,,,
ACC,51658,,,,,
AEO,54694,,,,,
AEP,191246,,,,,
AEL,32983,,,,,
AXP,253892,,,,,
AFG,26517,,,,,
AMH,109070,,,,,
AIG,333922,,,,,
ANAT,2700,,,,,
AWR,14855,,,,,
