tickers,shares,,,,,
BONAV B,24050,,,,,
BON,4520,,,,,
BONHR,7179,,,,,
BKNG,15837,,,,,
BAH,52986,,,,,
BOOZT,25213,,,,,
BLD,450833,,,,,
BLX,30484,,,,,
BWA,96404,,,,,
BRG,35816,,,,,
BRYAT,2297,,,,,
BOSCHLTD,3046,,,,,
3998,996000,,,,,
BOKA,30845,,,,,
BOSN,682,,,,,
SAM,3513,,,,,
BPFH,26300,,,,,
BXP,61179,,,,,
BSX,555316,,,,,
EPAY,15400,,,,,
BOUBYAN,330516,,,,,
BPCC,131961,,,,,
loyalty line 2022,100,,,,,
GBB,44,,,,,
EN,86996,,,,,
VTY,91594,,,,,
BOX,51825,,,,,
300294,14600,,,,,
BYD,34373,,,,,
BYD,7926,,,,,
BP.,7685926,,,,,
BPE,388226,,,,,
BPOST,38427,,,,,
BRML3,295118,,,,,
BRPR3,89835,,,,,
BCNV,559,,,,,
BRAP4,84300,,,,,
BRC,21494,,,,,
3655,2570,,,,,
BAT,387075,,,,,
BXB,592690,,,,,
BDN,55764,,,,,
BRKM5,64180,,,,,
BRAV,87121,,,,,
BVS,75685,,,,,
BNR,62187,,,,,
BRG,49346,,,,,
BRW,107283,,,,,
BRFS3,243224,,,,,
BKW,18036,,,,,
BBIO,37854,,,,,
5108,224404,,,,,
BRIGADE,25131,,,,,
600597,30100,,,,,
BFAM,23781,,,,,
BHF,33749,,,,,
,,,,,,
BSIG,20577,,,,,
1114,1054000,,,,,
BCO,18218,,,,,
EAT,15904,,,,,
BRISA,21814,,,,,
BMY,878396,,,,,
BRITANNIA,39086,,,,,
BAT,51300,,,,,
BTI,106973,,,,,
BATS,778405,,,,,
BLND,344981,,,,,
BVIC,119576,,,,,
BRX,113460,,,,,
AVGO,152818,,,,,
3673,26400,,,,,
BR,45491,,,,,
5263,5529,,,,,
3091,2400,,,,,
BKD,72091,,,,,
BAM.A,517559,,,,,
BIPC,11312,,,,,
BEPC,35688,,,,,
BRKL,27418,,,,,
BRKS,26571,,,,,
6448,95900,,,,,
BRO,88020,,,,,
BF.B,69691,,,,,
DOO,16226,,,,,
BRKR,37817,,,,,
BRNL,4071,,,,,
BC,11576,,,,,
BC,30183,,,,,
BT.A,3455402,,,,,
600258,24600,,,,,
BTS-F,2893011,,,,,
BTSGIF-F,846100,,,,,
BUB,168022,,,,,
BUCN,2327,,,,,
BKE,10800,,,,,
1876,668300,,,,,
BLDR,76798,,,,,
PTBA,1246200,,,,,
003000,13344,,,,,
ARMADA,1238050,,,,,
BSDE,3763400,,,,,
P8Z,133200,,,,,
Foreign,130600,,,,,
BG,54957,,,,,
5930,29900,,,,,
BNZL,136691,,,,,
8210,21928,,,,,
BRBY,160839,,,,,
BCHN,1205,,,,,
BURE,18758,,,,,
BVI,111261,,,,,
BURG,221309,,,,,
BURL,25448,,,,,
BURSA,201650,,,,,
BZU,36901,,,,,
BWE,44486,,,,,
BWLPG,23866,,,,,
BWO,31403,,,,,
BWP,171794,,,,,
BWX,45372,,,,,
BWXT,35017,,,,,
300146,36600,,,,,
002594,59700,,,,,
1211,298460,,,,,
285,284500,,,,,
BYI,26808,,,,,
BYIT,42075,,,,,
007210,14569,,,,,
CEAB3,35000,,,,,
GCC,116065,,,,,
1908,151000,,,,,
2156,94000,,,,,
002511,32400,,,,,
3309,108000,,,,,
CAI,27257,,,,,
CABO,2118,,,,,
CBT,20424,,,,,
COG,146514,,,,,
4725,3300,,,,,
K2LU,435172,,,,,
CACI,9865,,,,,
CADE,44783,,,,,
CDNS,108544,,,,,
CADILAHC,90510,,,,,
CAE,106365,,,,,
CZR,70996,,,,,
341,116000,,,,,
042000,3358,,,,,
CMSB,244700,,,,,
CNE,176199,,,,,
C5H,45485,,,,,
CRN,205327,,,,,
601108,31900,,,,,
CABK,1754903,,,,,
CALM,13865,,,,,
CVGW,6226,,,,,
2229,27200,,,,,
CWT,20672,,,,,
ELY,34194,,,,,
CPT,38382,,,,,
CCO,158347,,,,,
601311,26910,,,,,
CAML3,47300,,,,,
CPB,75668,,,,,
2662,130000,,,,,
CAMX,7385,,,,,
CANFINHOME,32421,,,,,
GOOS,19290,,,,,
CAR.UN,63950,,,,,
CM,169107,,,,,
CM,1229,,,,,
CNR,276310,,,,,
CNQ,455417,,,,,
CP,52679,,,,,
CSIQ,16800,,,,,
CTC.A,21630,,,,,
CU,46294,,,,,
CWB,30681,,,,,
CANBK,182128,,,,,
COK,13655,,,,,
CFP,23459,,,,,
CNNE,31861,,,,,
7739,4300,,,,,
7751,393200,,,,,
8060,14900,,,,,
WEED,91752,,,,,
6185,31400,,,,,
CMD,13970,,,,,
1381,291000,,,,,
CAP,25734,,,,,
9697,66600,,,,,
CAP,61799,,,,,
CPI,537023,,,,,
CAPC,273819,,,,,
COF,175808,,,,,
CPX,48678,,,,,
6005,667220,,,,,
C31,966000,,,,,
C38U,1685854,,,,,
AU8U,446468,,,,,
CPI,35214,,,,,
CFFN,58445,,,,,
CPRI,52948,,,,,
CMM,61193,,,,,
CBG-F,77400,,,,,
CAH,116317,,,,,
CDLX,11255,,,,,
CATM,13439,,,,,
CARERATING,8295,,,,,
CDNA,18905,,,,,
6153,134522,,,,,
CRL,15923,,,,,
CTRE,35656,,,,,
CJT,5577,,,,,
CGCBV,19818,,,,,
CARG,32592,,,,,
CLLN,88745,,,,,
AFX,13601,,,,,
CSL,20704,,,,,
CARL B,38684,,,,,
CARLSBG,48500,,,,,
CG,45226,,,,,
KMX,64479,,,,,
CARM,11845,,,,,
CVN,469345,,,,,
CCL,235604,,,,,
CCL,53636,,,,,
CRS,16691,,,,,
CA,236026,,,,,
CARR,338651,,,,,
CAR,118146,,,,,
CRI,15833,,,,,
CVNA,21951,,,,,
CAS,44345,,,,,
CWST,17210,,,,,
CASY,13850,,,,,
CSB,5189,,,,,
CO,19708,,,,,
6952,79100,,,,,
CAST,99135,,,,,
CASTROLIND,158847,,,,,
CTLT,63991,,,,,
2474,302310,,,,,
CATE,8409,,,,,
CAT,209779,,,,,
2882,3106895,,,,,
CATY,34279,,,,,
1981,210000,,,,,
293,373090,,,,,
2501,319200,,,,,
CVCO,3387,,,,,
2664,4000,,,,,
CBZ,24854,,,,,
CBOE,43123,,,,,
CBRE,131142,,,,,
CCC,8708,,,,,
CCL.B,58199,,,,,
CCRO3,409344,,,,,
CDR,23521,,,,,
CDK,44995,,,,,
J85,315888,,,,,
CDW,56218,,,,,
CEATLTD,6232,,,,,
CEB,45640,,,,,
000591,125590,,,,,
601016,248900,,,,,
CEC,70503,,,,,
CWP,18566,,,,,
CE,45094,,,,,
CLS,40101,,,,,
049960,1908,,,,,
Registered,32887,,,,,
CLNK B,8502,,,,,
268600,4476,,,,,
CLNX,134032,,,,,
091990,28342,,,,,
068270,40819,,,,,
068760,7542,,,,,
049180,1359,,,,,
CELH,13544,,,,,
CMBN,13367,,,,,
CEM,19613,,,,,
CEMARGOS,164401,,,,,
CHP,1282312,,,,,
CEMEXCPO,5925402,,,,,
CENCOSUD,483365,,,,,
CENCOSHOPP,161428,,,,,
CVE,515569,,,,,
CEY,374696,,,,,
CNC,222300,,,,,
4123,100731,,,,,
CNP,203883,,,,,
CG,77162,,,,,
CSR,4488,,,,,
ELET6,122300,,,,,
ELET3,150882,,,,,
832,248000,,,,,
601375,113100,,,,,
1375,129988,,,,,
CDSL,17379,,,,,
CENTA,14953,,,,,
4044,21900,,,,,
9022,71619,,,,,
CPN-F,916300,,,,,
CENTEL-F,239500,,,,,
CRC-F,1233400,,,,,
9740,2119,,,,,
4801,1750,,,,,
300012,42890,,,,,
CNA,2158919,,,,,
CNI,162833,,,,,
CIP,148941,,,,,
COF,170204,,,,,
CENX,27189,,,,,
9958,51000,,,,,
CNPF,394200,,,,,
CENTURYTEX,38230,,,,,
CRNC,15394,,,,,
CDAY,46445,,,,,
CERN,120409,,,,,
CERV,66811,,,,,
CESC,20476,,,,,
CEZ,59943,,,,,
CF,85166,,,,,
CGPOWER,227523,,,,,
CGG,251140,,,,,
GIB.A,88441,,,,,
1811,250000,,,,,
003816,349900,,,,,
1816,3806832,,,,,
CK-F,302700,,,,,
CHRW,53528,,,,,
085660,12984,,,,,
002557,11200,,,,,
5871,503553,,,,,
CHN,115283,,,,,
CGF,242645,,,,,
CHAMBLFERT,59328,,,,,
CIA,168071,,,,,
2778,738000,,,,,
CHX,69866,,,,,
2801,2405731,,,,,
8070,144000,,,,,
600742,17310,,,,,
000661,10046,,,,,
CHNG,95757,,,,,
3962,11200,,,,,
000783,135520,,,,,
300474,8100,,,,,
601799,6700,,,,,
951,240000,,,,,
300408,55600,,,,,
CRL,21356,,,,,
SCHW,534768,,,,,
1215,104000,,,,,
Foreign,1278800,,,,,
CPIN,2727000,,,,,
GTLS,13167,,,,,
CHTR,54494,,,,,
CHC,172583,,,,,
CLW,208993,,,,,
CQR,182119,,,,,
CQE,102041,,,,,
CSH.UN,82663,,,,,
6230,13000,,,,,
4164,31268,,,,,
CHKP,41706,,,,,
CAKE,14900,,,,,
CHGG,49224,,,,,
030000,25636,,,,,
CHE,6210,,,,,
CCXI,18504,,,,,
CHEMM,2325,,,,,
CC,59836,,,,,
CHG,106091,,,,,
1904,356000,,,,,
2105,657379,,,,,
2392,164000,,,,,
002818,17930,,,,,
002773,8500,,,,,
000598,116800,,,,,
600711,57900,,,,,
000990,47400,,,,,
LNG,91169,,,,,
CVX,745062,,,,,
1103,159000,,,,,
8331,238200,,,,,
2385,302231,,,,,
6412,63000,,,,,
6561,12000,,,,,
600988,28900,,,,,
PLCE,5000,,,,,
2456,75325,,,,,
9099,8000,,,,,
CIM,113394,,,,,
3178,2100,,,,,
2355,105000,,,,,
600879,84100,,,,,
2610,935000,,,,,
940,84000,,,,,
3883,437000,,,,,
600372,33900,,,,,
000009,63600,,,,,
CBPO,8993,,,,,
3983,556000,,,,,
002051,84700,,,,,
1701,82000,,,,,
1359,3785000,,,,,
601998,454900,,,,,
998,3408525,,,,,
601898,353900,,,,,
1898,859000,,,,,
552,886000,,,,,
586,724498,,,,,
601939,371200,,,,,
939,36144026,,,,,
600150,55600,,,,,
600138,18900,,,,,
2883,5564580,,,,,
300526,5200,,,,,
3818,1565000,,,,,
667,137500,,,,,
600115,333500,,,,,
670,496000,,,,,
839,300000,,,,,
1611,81360,,,,,
600675,157200,,,,,
601818,1124800,,,,,
6818,1262000,,,,,
1257,149000,,,,,
257,1886777,,,,,
165,330000,,,,,
3333,890000,,,,,
200055,122000,,,,,
6186,1038000,,,,,
,,,,,,
600977,46100,,,,,
506,332000,,,,,
600340,91087,,,,,
6881,1573000,,,,,
384,1087151,,,,,
1305,176091,,,,,
600068,112300,,,,,
512,486080,,,,,
002939,44200,,,,,
000066,98400,,,,,
3836,365000,,,,,
658,151000,,,,,
1378,1118000,,,,,
2799,4482000,,,,,
Delisted Dummy Line,822401,,,,,
3908,558800,,,,,
000039,47200,,,,,
2039,150600,,,,,
601888,55788,,,,,
817,2712000,,,,,
600176,110000,,,,,
1890,226000,,,,,
2128,353000,,,,,
601628,256272,,,,,
2628,2761271,,,,,
2823,696570,,,,,
1234,210000,,,,,
772,79600,,,,,
931,870000,,,,,
1589,422000,,,,,
916,1249000,,,,,
67,11900,,,,,
1829,365000,,,,,
1718,496733,,,,,
1317,528000,,,,,
867,482000,,,,,
600056,27000,,,,,
1268,162000,,,,,
2319,1091000,,,,,
600036,511449,,,,,
3968,1504398,,,,,
601872,193800,,,,,
001965,52800,,,,,
978,432000,,,,,
144,562000,,,,,
001914,40430,,,,,
600999,130987,,,,,
6099,678160,,,,,
001979,181800,,,,,
1532,101000,,,,,
000831,43500,,,,,
600016,1032100,,,,,
1988,2432512,,,,,
1117,626500,,,,,
603993,110400,,,,,
3993,1638000,,,,,
2204,104800,,,,,
000028,8800,,,,,
200028,20760,,,,,
3323,1416750,,,,,
600511,18600,,,,,
601985,341500,,,,,
600536,11600,,,,,
2001,275000,,,,,
000758,119700,,,,,
600111,90500,,,,,
601808,122225,,,,,
2883,542000,,,,,
581,754000,,,,,
81,462500,,,,,
688,1595980,,,,,
2669,427493,,,,,
601601,176988,,,,,
2601,1024400,,,,,
1314,1133567,,,,,
600028,802700,,,,,
386,9873337,,,,,
2380,3199851,,,,,
601949,32300,,,,,
601390,417300,,,,,
390,1645000,,,,,
688009,176387,,,,,
3969,1180500,,,,,
1508,2218000,,,,,
291,618681,,,,,
1313,882000,,,,,
600062,14500,,,,,
1193,352000,,,,,
1109,1113909,,,,,
1515,182090,,,,,
3320,676000,,,,,
836,827400,,,,,
000999,32887,,,,,
601698,32500,,,,,
1966,837000,,,,,
601088,152400,,,,,
1088,1325500,,,,,
2877,150000,,,,,
601989,563300,,,,,
1668,778000,,,,,
601098,66900,,,,,
1055,1464000,,,,,
601668,1039800,,,,,
3311,591750,,,,,
1723,48000,,,,,
2002,4728390,,,,,
956,581000,,,,,
966,542659,,,,,
1600,142500,,,,,
000035,112100,,,,,
6055,58000,,,,,
788,19122576,,,,,
570,962000,,,,,
002373,13400,,,,,
308,864000,,,,,
000036,321700,,,,,
000002,268500,,,,,
2202,714089,,,,,
855,424000,,,,,
002302,67200,,,,,
600007,39900,,,,,
600900,385094,,,,,
3669,330500,,,,,
6169,376000,,,,,
000733,12800,,,,,
601916,179900,,,,,
1333,442800,,,,,
354,764000,,,,,
127,147000,,,,,
600373,44900,,,,,
6147,227000,,,,,
8150,221682,,,,,
CMG,10872,,,,,
8185,5800,,,,,
6366,45400,,,,,
6915,3600,,,,,
4137,22400,,,,,
LISN,37,,,,,
LISP,402,,,,,
5946,5300,,,,,
CHH,12217,,,,,
CHP.UN,92652,,,,,
CHOLAHLDNG,27093,,,,,
CHOLAFIN,131823,,,,,
5534,87152,,,,,
185750,2793,,,,,
001630,1116,,,,,
600132,11100,,,,,
000625,105600,,,,,
200625,320062,,,,,
600565,177600,,,,,
002507,21000,,,,,
1053,378000,,,,,
601077,149400,,,,,
3618,766000,,,,,
601158,117945,,,,,
300122,31100,,,,,
001696,29000,,,,,
8014,1900,,,,,
CNU,166322,,,,,
116,46000,,,,,
1929,692000,,,,,
CHR,38353,,,,,
2360,146000,,,,,
CB,174275,,,,,
9502,262170,,,,,
2053,11600,,,,,
1941,8400,,,,,
3877,6000,,,,,
4519,255100,,,,,
8382,60900,,,,,
9504,113300,,,,,
4617,20400,,,,,
8530,6700,,,,,
CHG-F,2340180,,,,,
278280,1444,,,,,
2014,316000,,,,,
1905,152421,,,,,
1513,107000,,,,,
6510,7000,,,,,
CHT,97033,,,,,
2412,439000,,,,,
5992,5600,,,,,
CHD,97843,,,,,
CHDN,15315,,,,,
CIX,71976,,,,,
4215,10000,,,,,
PCAR3,63121,,,,,
CCU,55525,,,,,
LOG,25478,,,,,
LCAM3,135937,,,,,
SBSP3,129700,,,,,
CSMG3,99867,,,,,
SAPR4,139400,,,,,
SAPR11,71580,,,,,
TRPL4,76808,,,,,
CMIG4,275354,,,,,
CMIG3,168200,,,,,
CESP6,60785,,,,,
HGTX3,37140,,,,,
CPLE6,227000,,,,,
CPLE3,231000,,,,,
SID,89670,,,,,
CSNA3,153700,,,,,
VAPORES,6023168,,,,,
CIE,19980,,,,,
CFEB,2720,,,,,
SGO,187339,,,,,
CFR,199553,,,,,
ML,67853,,,,,
POM,20423,,,,,
CIE,13778,,,,,
CIEL3,383088,,,,,
CIEN,63630,,,,,
884,1310000,,,,,
CI,133528,,,,,
XEC,37268,,,,,
CIMB,2636752,,,,,
3899,184000,,,,,
CIM,34447,,,,,
CMPR,6481,,,,,
CIMSA,8065,,,,,
CINF,59007,,,,,
600657,133900,,,,,
CNK,40773,,,,,
CINE,400731,,,,,
CTAS,34371,,,,,
CIPLA,198806,,,,,
CTRA,5047430,,,,,
CIR,356743,,,,,
CRUS,21100,,,,,
CSCO,1643980,,,,,
CIT,36978,,,,,
000839,153300,,,,,
267,1829000,,,,,
000708,122910,,,,,
1205,1238000,,,,,
600030,321000,,,,,
6030,837000,,,,,
1883,649500,,,,,
C,808630,,,,,
7762,106600,,,,,
CFG,167798,,,,,
CTXS,48853,,,,,
3003,21222,,,,,
CCX,127019,,,,,
C09,166100,,,,,
CHCO,5856,,,,,
CUB,121977,,,,,
CTY1S,22588,,,,,
079160,8305,,,,,
097955,535,,,,,
097950,3058,,,,,
001040,4832,,,,,
035760,3394,,,,,
051500,2037,,,,,
037560,12615,,,,,
000120,2974,,,,,
1113,942927,,,,,
1,1047891,,,,,
1038,230000,,,,,
CKP-F,1193545,,,,,
6407,20500,,,,,
CLIS,14817,,,,,
CLN,99296,,,,,
CLVT,72783,,,,,
CKN,8722,,,,,
CLAS B,38828,,,,,
CLH,22400,,,,,
8422,27000,,,,,
CWY,536684,,,,,
7955,5000,,,,,
CWEN.A,10620,,,,,
CWEN,30396,,,,,
CLF,168572,,,,,
2362,383628,,,,,
CLS,98862,,,,,
CUV,13890,,,,,
CLA B,80284,,,,,
CLX,49381,,,,,
CBG,61081,,,,,
CLDR,76204,,,,,
NET,43922,,,,,
2,636580,,,,,
CLI,71863,,,,,
1141,5250000,,,,,
2323,787080,,,,,
CMCX,46417,,,,,
CCMP,10523,,,,,
CME,137785,,,,,
058820,37284,,,,,
2309,3100,,,,,
6958,9600,,,,,
CMS,109891,,,,,
CNA,8700,,,,,
CNHI,385255,,,,,
000951,18500,,,,,
039530,78,,,,,
002145,119200,,,,,
CNO,89509,,,,,
600968,221900,,,,,
CNP,52948,,,,,
CNX,82225,,,,,
8010,22496,,,,,
8358,76000,,,,,
COALINDIA,675040,,,,,
COA,539113,,,,,
CCL,191422,,,,,
2579,49875,,,,,
KO,1499184,,,,,
COKE,2463,,,,,
CCEP,78748,,,,,
KOFUBL,240850,,,,,
CCH,78507,,,,,
CCOLA,26410,,,,,
COH,25540,,,,,
3098,7500,,,,,
CDA,40317,,,,,
CDE,89396,,,,,
COFA,39115,,,,,
000930,46600,,,,,
002423,62300,,,,,
1610,734000,,,,,
600737,55700,,,,,
COFB,9740,,,,,
CCA,3793,,,,,
CCOI,19024,,,,,
COGN3,658273,,,,,
CGNX,66644,,,,,
CTSH,206653,,,,,
CGNT,24134,,,,,
CNS,8947,,,,,
COHR,9264,,,,,
COLBUN,3109604,,,,,
COL,504500,,,,,
CFX,42643,,,,,
CL,323999,,,,,
COLPAL,43479,,,,,
COLL,39722,,,,,
CIGI,11322,,,,,
CKF,33101,,,,,
CLNY,181570,,,,,
CLNC,25568,,,,,
3668,17400,,,,,
COLO B,52064,,,,,
1778,235000,,,,,
7616,22300,,,,,
COLR,18389,,,,,
COLB,29700,,,,,
CLBK,24747,,,,,
CXP,42435,,,,,
COLM,10831,,,,,
078340,3651,,,,,
COM7-F,889900,,,,,
2342,522039,,,,,
CMCSA,1754052,,,,,
CMA,55658,,,,,
COTN,2738,,,,,
3282,212,,,,,
FIX,13846,,,,,
C52,771700,,,,,
CUF.UN,60240,,,,,
CBSH,42512,,,,,
CBQK,842836,,,,,
COMI,507371,,,,,
CMC,43553,,,,,
CBK,390657,,,,,
CBA,687351,,,,,
COMM,74258,,,,,
CBU,19418,,,,,
CTBI,5306,,,,,
CVLT,14504,,,,,
2324,1846323,,,,,
CPG,697152,,,,,
CMP,12151,,,,,
2313,420000,,,,,
CGEN,18209,,,,,
COP,9293,,,,,
CCC,27026,,,,,
9692,7426,,,,,
CPU,178578,,,,,
CPUXX,20293,,,,,
1721,42698,,,,,
3844,7800,,,,,
CAG,193353,,,,,
DANHOS13,58308,,,,,
COIC,14685,,,,,
CNXC,15838,,,,,
182,1160000,,,,,
7186,405679,,,,,
4943,22512,,,,,
9422,3300,,,,,
CNMD,10091,,,,,
COP,527140,,,,,
ED,132234,,,,,
STZ,62621,,,,,
CSU,7568,,,,,
CSTM,42700,,,,,
CAF,7051,,,,,
TEND3,27118,,,,,
1681,178000,,,,,
CEN,269255,,,,,
CONCOR,93548,,,,,
300750,22240,,,,,
CON,42589,,,,,
CLR,29241,,,,,
GLO,105751,,,,,
NMKA,959000,,,,,
VOLARA,269300,,,,,
CTEC,589578,,,,,
1019,3102000,,,,,
CON,469,,,,,
2193,13700,,,,,
COO,18887,,,,,
COE,597256,,,,,
CTB,20017,,,,,
CPA,2965,,,,,
CPRT,80219,,,,,
CRBN,21203,,,,,
CORT,34852,,,,,
CLB,16736,,,,,
CORE,15700,,,,,
027050,5638,,,,,
CXW,38822,,,,,
CLGX,28814,,,,,
COR,14751,,,,,
CCAP,3253,,,,,
5371,165400,,,,,
CSOD,26015,,,,,
GLW,292047,,,,,
COROMANDEL,44521,,,,,
5909,8100,,,,,
CRN,216137,,,,,
CML,98576,,,,,
CORFICOLCF,47538,,,,,
VESTA*,184001,,,,,
OFC,39451,,,,,
CTD,40888,,,,,
CTVA,292084,,,,,
COR,8976,,,,,
CRVL,2844,,,,,
CSAN,47780,,,,,
CSAN3,118939,,,,,
601866,371700,,,,,
2866,793000,,,,,
1138,600000,,,,,
601919,113800,,,,,
1919,1345500,,,,,
F83,379700,,,,,
1199,908000,,,,,
6905,4500,,,,,
192820,2006,,,,,
5021,34200,,,,,
COPN,6371,,,,,
005070,11149,,,,,
120,732000,,,,,
3349,6600,,,,,
CGC,135146,,,,,
CSGP,15122,,,,,
COST,170755,,,,,
COTY,107321,,,,,
2007,3127230,,,,,
6098,568141,,,,,
CSP,194307,,,,,
COUP,26981,,,,,
CUZ,54694,,,,,
CVA,45457,,,,,
1COV,72106,,,,,
CVET,43046,,,,,
COV,18682,,,,,
Foreign,1873100,,,,,
CPFE3,72900,,,,,
906,83000,,,,,
CPNREIT-F,630200,,,,,
CBRL,8602,,,,,
CR,20929,,,,,
CWK,18305,,,,,
CRAYN,22976,,,,,
3487,98,,,,,
3387,28600,,,,,
3148,7200,,,,,
BAP,29828,,,,,
BAP,2723,,,,,
CACC,3687,,,,,
ACA,455886,,,,,
CBOM,6287700,,,,,
CCP,21268,,,,,
8253,57400,,,,,
CSGN,939223,,,,,
CREDITACC,15061,,,,,
CE,23562,,,,,
CREAL*,219342,,,,,
CREE,44605,,,,,
CPG,185800,,,,,
CRST,87547,,,,,
CRG,2038,,,,,
CRH,305988,,,,,
CRISIL,7981,,,,,
CRSP,24045,,,,,
CROX,24486,,,,,
CRDA,53479,,,,,
CROMPTON,161895,,,,,
CNNU,421600,,,,,
CMW,567566,,,,,
CRON,70696,,,,,
CE2,6524,,,,,
CRWD,60355,,,,,
CCI,161570,,,,,
CCK,51340,,,,,
CWN,144921,,,,,
2232,275500,,,,,
083790,10250,,,,,
112610,7652,,,,,
2208,108615,,,,,
601066,31100,,,,,
6066,340000,,,,,
000012,86700,,,,,
200012,516606,,,,,
CSGS,11066,,,,,
HGLG11,1520,,,,,
CSL,175609,,,,,
1093,3462000,,,,,
CSR,172553,,,,,
317,174000,,,,,
2616,107500,,,,,
CSX,294211,,,,,
1363,424000,,,,,
2891,7227715,,,,,
9933,293000,,,,,
4345,6679,,,,,
CTS,12100,,,,,
EVD,21943,,,,,
CTT,47438,,,,,
2231,31044,,,,,
CUBE,78898,,,,,
CUB,11461,,,,,
192400,506,,,,,
284740,2535,,,,,
CFR,20477,,,,,
CMI,57052,,,,,
CUMMINSIND,42788,,,,,
CVAC,35786,,,,,
040350,39320,,,,,
COH,3356,,,,,
CW,21153,,,,,
7085,26104,,,,,
CWK,42438,,,,,
CVBF,47493,,,,,
CVCB3,79644,,,,,
CVI,9664,,,,,
CVS,506461,,,,,
4751,142368,,,,,
CYBR,14303,,,,,
5203,11000,,,,,
3062,109000,,,,,
4776,9000,,,,,
CPS,94224,,,,,
CYRE3,108098,,,,,
CONE,49626,,,,,
DNL,751700,,,,,
D&O,233800,,,,,
DIE,8543,,,,,
2332,184212,,,,,
DNORD,9456,,,,,
002030,22100,,,,,
DABUR,191834,,,,,
DCN,165962,,,,,
DADA,7180,,,,,
001130,505,,,,,
067080,2420,,,,,
045390,21668,,,,,
353200,13041,,,,,
008060,7545,,,,,
078600,1725,,,,,
019680,11162,,,,,
000210,4031,,,,,
001680,8390,,,,,
DAE,2790,,,,,
047040,70785,,,,,
042660,18080,,,,,
003090,7674,,,,,
069620,1793,,,,,
2356,113537,,,,,
440,55744,,,,,
7912,111200,,,,,
4611,8500,,,,,
1980,4500,,,,,
8750,422500,,,,,
6640,1800,,,,,
8806,18300,,,,,
4202,91200,,,,,
7245,17300,,,,,
5471,12300,,,,,
6383,37900,,,,,
6622,6400,,,,,
1822,6000,,,,,
8059,4200,,,,,
4568,740000,,,,,
7458,13600,,,,,
7905,3600,,,,,
6367,103463,,,,,
2791,2300,,,,,
4246,24500,,,,,
DMGT,10895,,,,,
DAI,318244,,,,,
4116,6500,,,,,
3880,29900,,,,,
D01,107700,,,,,
9793,13600,,,,,
7327,14950,,,,,
003545,5657,,,,,
003540,14831,,,,,
9979,4700,,,,,
4577,3500,,,,,
1878,25452,,,,,
1925,255500,,,,,
8984,575,,,,,
6459,12400,,,,,
8976,78,,,,,
8601,572100,,,,,
3107,34000,,,,,
DHG,78590,,,,,
3799,939000,,,,,
601880,191500,,,,,
4004,18853,,,,,
DALBHARAT,16928,,,,,
DAMAC,667912,,,,,
DANA,1186473,,,,,
DAN,53751,,,,,
DHR,242903,,,,,
DANE,1567,,,,,
DAN,5775,,,,,
DANR,11415,,,,,
BN,232823,,,,,
DANSKE,264161,,,,,
023590,7947,,,,,
601006,498400,,,,,
DQ,14105,,,,,
4300,254393,,,,,
DRI,51868,,,,,
000910,33800,,,,,
8163,206000,,,,,
DAR,63408,,,,,
6120,142000,,,,,
600694,72400,,,,,
603233,5800,,,,,
AM,867,,,,,
DSY,50944,,,,,
DTL,58914,,,,,
DDOG,60105,,,,,
DAL,8753,,,,,
991,2792000,,,,,
DTC,67595,,,,,
PLAY,16229,,,,,
CPR,206958,,,,,
DVA,28242,,,,,
068240,5674,,,,,
900903,264350,,,,,
016610,8526,,,,,
000990,14391,,,,,
005830,17158,,,,,
D05,707378,,,,,
DCBBANK,60028,,,,,
DCC,40445,,,,,
3050,39200,,,,,
DCMSHRIRAM,15204,,,,,
DEG,405710,,,,,
DLG,25158,,,,,
DEA,57909,,,,,
DPH,42612,,,,,
DCPH,13068,,,,,
DECK,10522,,,,,
DEEPAKNTR,29568,,,,,
DE,121789,,,,,
DLEA,20634,,,,,
DLEKG,1799,,,,,
DK,21465,,,,,
DHER,58485,,,,,
DELL,102326,,,,,
DAL,68913,,,,,
2308,846983,,,,,
DELTA-F,107600,,,,,
DELT,3081,,,,,
DLX,14400,,,,,
DEMANT,38584,,,,,
2432,33300,,,,,
DNLI,23294,,,,,
4061,31700,,,,,
6706,4400,,,,,
6902,179100,,,,,
145720,2128,,,,,
XRAY,85753,,,,,
4324,89349,,,,,
6517,5100,,,,,
6605,45000,,,,,
DBG,34724,,,,,
DMP,6569,,,,,
DLN,41732,,,,,
DSG,35779,,,,,
8114,13000,,,,,
DRR,144177,,,,,
DSKY,260150,,,,,
DBK,806443,,,,,
DBAN,5248,,,,,
DB1,71524,,,,,
DEQ,16854,,,,,
LHA,114005,,,,,
PBB,64363,,,,,
DPW,380088,,,,,
DTE,1248836,,,,,
DWNI,138975,,,,,
DEZ,42585,,,,,
DVN,235489,,,,,
DVO,73913,,,,,
DXCM,35919,,,,,
4980,14800,,,,,
DXS,456562,,,,,
DEYAAR,361379,,,,,
DFDS,10551,,,,,
DGKC,90500,,,,,
139130,55160,,,,,
002065,87269,,,,,
DGE,890510,,,,,
DIALOG,1730448,,,,,
DLG,27748,,,,,
FANG,69380,,,,,
DRH,70297,,,,,
300244,12600,,,,,
DIA,8307,,,,,
DIC,20075,,,,,
4631,32600,,,,,
DKS,22698,,,,,
DDR,19419,,,,,
DIGI,1352600,,,,,
2326,3200,,,,,
000034,22200,,,,,
